Date,Open,High,Low,Close,Adj Close,Volume
2022-03-03,34.220001,34.291000,31.415001,31.719999,31.719999,38337600
2022-03-04,31.500000,31.730000,29.270000,29.830000,29.830000,52098700
2022-03-07,31.480000,31.938000,28.549999,28.570000,28.570000,60265800
2022-03-08,28.510000,31.570000,28.278000,30.740000,30.740000,55014700
2022-03-09,31.750000,32.730000,31.200001,31.500000,31.500000,33734500
2022-03-10,30.860001,31.145000,29.840000,30.410000,30.410000,30785900
2022-03-11,31.299999,31.389999,30.420000,30.760000,30.760000,29454700
2022-03-14,30.510000,30.549999,28.799999,29.270000,29.270000,41897400
2022-03-15,29.520000,30.410000,29.059999,29.799999,29.799999,33060500
2022-03-16,30.530001,32.634998,30.270000,32.610001,32.610001,34688800
2022-03-17,32.340000,32.919998,31.570000,32.849998,32.849998,27278600
2022-03-18,32.520000,33.419998,32.330002,33.360001,33.360001,35827800
2022-03-21,32.820000,32.820000,31.250000,31.980000,31.980000,35200600
2022-03-22,31.930000,33.599998,31.840000,33.349998,33.349998,21852800
2022-03-23,32.709999,33.680000,32.570000,33.060001,33.060001,19024700
2022-03-24,34.740002,34.950001,33.439999,34.700001,34.700001,52533600
2022-03-25,34.549999,34.919998,33.549999,34.060001,34.060001,28078800
2022-03-28,34.139999,34.910000,33.730000,34.770000,34.770000,22175200
2022-03-29,35.570000,37.450001,35.570000,37.189999,37.189999,37969000
2022-03-30,36.660000,37.089001,36.205002,36.580002,36.580002,22306500
2022-03-31,36.500000,36.730000,35.369999,35.680000,35.680000,20608700
2022-04-01,35.680000,36.480000,35.400002,35.980000,35.980000,16793300
2022-04-04,36.400002,36.930000,36.215000,36.509998,36.509998,20217800
2022-04-05,36.349998,36.610001,34.720001,34.959999,34.959999,20984200
2022-04-06,33.855000,34.000000,32.549999,33.410000,33.410000,28854800
2022-04-07,33.340000,33.340000,31.020000,32.270000,32.270000,34581000
2022-04-08,31.920000,32.550999,31.580000,32.049999,32.049999,17991000
2022-04-11,31.360001,32.689999,31.110001,32.040001,32.040001,19680300
2022-04-12,32.400002,33.095001,31.709999,31.990000,31.990000,32619800
2022-04-13,32.000000,33.110001,31.930000,32.630001,32.630001,20186400
2022-04-14,32.860001,33.465000,32.639999,32.680000,32.680000,18763000
2022-04-18,32.549999,32.605000,31.420000,31.790001,31.790001,24413800
2022-04-19,32.160000,33.990002,31.969999,33.799999,33.799999,23319600
2022-04-20,33.990002,34.320000,33.180000,33.209999,33.209999,21330500
2022-04-21,34.250000,34.410000,31.370001,31.680000,31.680000,32937100
2022-04-22,31.620001,32.224998,30.799999,30.830000,30.830000,22748900
2022-04-25,30.590000,32.500000,30.459999,32.439999,32.439999,29416300
2022-04-26,32.040001,32.200001,31.000000,31.330000,31.330000,26981900
2022-04-27,31.100000,31.980000,30.160000,30.680000,30.680000,30762600
2022-04-28,31.000000,32.869999,30.980000,32.820000,32.820000,30251600
2022-04-29,32.520000,33.150002,31.410000,31.480000,31.480000,24948600
2022-05-02,31.240000,31.350000,29.510000,30.389999,30.389999,45651000
2022-05-03,30.150000,30.590000,28.850000,29.469999,29.469999,58340700
2022-05-04,27.410000,28.400000,25.900000,28.100000,28.100000,115601800
2022-05-05,27.870001,28.830000,26.200001,26.830000,26.830000,52804200
2022-05-06,26.840000,26.840000,24.750000,26.070000,26.070000,56575100
2022-05-09,25.410000,26.065001,22.799999,23.049999,23.049999,58095900
2022-05-10,23.850000,24.549999,22.799999,23.670000,23.670000,47982500
2022-05-11,23.280001,24.150000,22.500000,22.570000,22.570000,51137700
2022-05-12,22.150000,24.059999,21.690001,23.290001,23.290001,63999300
2022-05-13,23.879999,24.871000,23.680000,24.389999,24.389999,53577600
2022-05-16,24.309999,24.459999,23.400000,23.590000,23.590000,27285200
2022-05-17,24.320000,24.900000,23.590000,24.200001,24.200001,33859400
2022-05-18,23.980000,24.188000,22.340000,22.459999,22.459999,35747300
2022-05-19,22.290001,23.809999,22.200001,23.240000,23.240000,36461200
2022-05-20,23.809999,24.100000,22.410000,23.350000,23.350000,32104700
2022-05-23,23.320000,23.830000,22.709999,23.780001,23.780001,35204800
2022-05-24,23.690001,23.740000,21.410000,21.549999,21.549999,40726100
2022-05-25,21.709999,22.355000,21.275000,22.040001,22.040001,31270800
2022-05-26,22.150000,23.280001,21.924999,23.100000,23.100000,30199400
2022-05-27,23.490000,24.129999,23.330000,23.670000,23.670000,29710200
2022-05-31,23.500000,23.900000,23.034000,23.200001,23.200001,33194800
2022-06-01,23.530001,23.870001,22.565001,22.940001,22.940001,26383600
2022-06-02,23.070000,24.830000,22.940001,24.740000,24.740000,30691100
2022-06-03,24.170000,24.495001,23.725000,24.150000,24.150000,24270700
2022-06-06,24.860001,25.434999,24.280001,24.730000,24.730000,29834700
2022-06-07,24.200001,25.700001,24.070000,25.299999,25.299999,27453700
2022-06-08,25.700001,26.549999,25.299999,25.830000,25.830000,31225300
2022-06-09,25.940001,26.690001,25.355000,25.440001,25.440001,42063600
2022-06-10,24.799999,24.971001,23.650000,23.719999,23.719999,29868000
2022-06-13,22.219999,22.584999,21.343000,21.570000,21.570000,33130300
2022-06-14,21.719999,21.952000,20.893999,21.090000,21.090000,43006300
2022-06-15,21.340000,22.389999,21.240000,22.030001,22.030001,36073700
2022-06-16,21.040001,21.400000,20.155001,20.469999,20.469999,55312400
2022-06-17,20.370001,21.959999,20.370001,21.809999,21.809999,43908100
2022-06-21,22.000000,22.459999,21.690001,21.760000,21.760000,35257700
2022-06-22,21.410000,22.209999,21.299999,21.500000,21.500000,32314400
2022-06-23,21.629999,22.440001,21.389999,22.370001,22.370001,27010500
2022-06-24,22.480000,23.190001,22.299999,23.030001,23.030001,38123700
2022-06-27,23.450001,23.639999,22.344999,22.860001,22.860001,27153400
2022-06-28,22.969999,23.459999,22.040001,22.080000,22.080000,24350100
2022-06-29,22.110001,22.150000,21.080000,21.469999,21.469999,30704800
2022-06-30,21.110001,21.125999,19.895000,20.459999,20.459999,30882500
2022-07-01,20.700001,21.370001,20.430000,21.340000,21.340000,20688300
2022-07-05,21.170000,22.549999,20.830000,22.520000,22.520000,24500300
2022-07-06,21.500000,22.080000,21.320000,21.500000,21.500000,32689400
2022-07-07,21.639999,22.759001,21.610001,22.740000,22.740000,23121900
2022-07-08,22.430000,22.959999,21.832001,22.340000,22.340000,20214200
2022-07-11,21.950001,22.250000,21.139999,21.190001,21.190001,17546900
2022-07-12,21.280001,21.780001,20.975000,21.570000,21.570000,17373500
2022-07-13,20.930000,21.610001,20.719999,21.500000,21.500000,18994900
2022-07-14,21.250000,21.465000,20.591000,20.650000,20.650000,31561700
2022-07-15,21.000000,21.780001,20.764999,21.670000,21.670000,24481100
2022-07-18,22.170000,23.200001,22.110001,22.580000,22.580000,30935900
2022-07-19,22.750000,23.080000,22.190001,22.670000,22.670000,23148900
2022-07-20,22.889999,24.219999,22.805000,24.120001,24.120001,27844600
2022-07-21,24.020000,24.250000,23.600000,24.230000,24.230000,18425400
2022-07-22,24.330000,24.809999,23.084999,23.299999,23.299999,20202000
2022-07-25,23.270000,23.540001,22.629999,23.350000,23.350000,12923000
2022-07-26,23.150000,23.150000,22.450001,22.549999,22.549999,24402800
2022-07-27,23.000000,23.320000,22.490000,23.090000,23.090000,28384300
2022-07-28,22.889999,23.420000,22.139999,23.309999,23.309999,22886100
2022-07-29,23.180000,23.485001,22.389999,23.450001,23.450001,29370900
2022-08-01,23.430000,24.620001,22.885000,24.600000,24.600000,46960700
2022-08-02,28.490000,29.430000,27.100000,29.250000,29.250000,107926300
2022-08-03,29.719999,31.430000,29.360001,30.190001,30.190001,62061200
2022-08-04,29.780001,32.230000,29.600000,31.850000,31.850000,55573600
2022-08-05,31.200001,32.630001,31.040001,32.009998,32.009998,39954800
2022-08-08,32.330002,32.955002,31.660000,31.850000,31.850000,28064900
2022-08-09,31.370001,31.549999,30.719999,31.059999,31.059999,27042900
